taxon,EU08_S_2019-09-13,EU08_S_2019-09-30,EU08_S_2019-10-11,EU08_S_2019-10-17,EU08_S_2019-10-28,EU08_S_2019-11-12,EU08_S_2019-11-26,EU08_S_2019-12-13,EU08_S_2020-01-02,EU08_S_Wi2020,EU08_S_2020-01-27,EU08_S_2020-02-07,EU08_S_2020-02-21,EU08_S_2020-03-06,EU08_S_2020-03-18,EU08_S_2020-04-14,EU08_S_2020-04-28,EU08_S_2020-05-12,EU08_S_2020-05-21,EU08_S_2020-05-28,EU08_S_2020-06-10,EU08_S_2020-06-23,EU08_S_2020-07-09,EU08_S_2020-07-21,EU08_S_2020-08-05,EU08_S_2020-08-20,EU08_S_2020-09-02,EU08_S_2020-09-17,EU08_S_2020-10-02,EU08_S_2020-10-29,EU08_S_2020-11-19
Pseudoalteromonadaceae,0,0,0,6.89829612085815e-05,0,0,0,0,0,0,0,3.25987742860868e-05,0,0,0,0.00022305598133193,0,0,0,0,0,0,0,9.22906540331016e-05,0,0,0,0,0,0,0
Magnetospira,0,0,0,0,0,0,0,0,0,0,3.22310320376458e-05,0,0,0,0,0,0,3.38753387533875e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Photobacterium,0.000178269007932971,0.000160565189466924,6.64142923557149e-05,0.000137965922417163,0.000254758525312079,0.000155714730613516,0,0,0,0,1.61155160188229e-05,0,2.5766555011595e-05,4.28357249946455e-05,0,5.71938413671616e-06,0,0,0,0,0,4.88042947779405e-05,0.000186039589224587,9.22906540331016e-05,0.000106228532983959,9.93541977148535e-05,0.000170992784104511,0.000212539851222104,4.40140845070423e-05,8.69754294411829e-05,3.27289389278e-05
Bacteroidia,0,0,3.32071461778575e-05,2.29943204028605e-05,0,3.11429461227032e-05,7.32386113959279e-05,0.000192957067052581,0,0,1.61155160188229e-05,0,0,0,0.000663735169667303,1.71581524101485e-05,0,0.000304878048780488,2.3392360055206e-05,0,0,0,3.72079178449174e-05,6.15271026887344e-05,3.54095109946532e-05,9.93541977148535e-05,0,4.25079702444208e-05,0,0,0
Limimaricola soesokkakensis,0,0,0,0,0,0,0,3.21595111754301e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41985568209022e-05,0,0,0,0
Sphingobacteriales,2.97115013221618e-05,0,0,0,0,0,0,0,0,2.89720709236296e-05,0,0,0,0,0,1.14387682734323e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquibacter,2.97115013221618e-05,0,0.000199242877067145,0.000137965922417163,3.63940750445827e-05,3.11429461227032e-05,0.000146477222791856,0.000160797555877151,3.73134328358209e-05,0.000173832425541778,0.000354541352414104,0.000521580388577389,0.000438031435197114,0.000214178624973228,0.000497801377250477,0.000434673194390428,0.000491014435824413,0.000169376693766938,0.000584809001380149,0.000234785875281743,0.000353045013239188,0.000488042947779405,0.000111623753534752,0,0.000106228532983959,0.000165590329524756,0.000239389897746315,4.25079702444208e-05,0.000220070422535211,8.69754294411829e-05,6.54578778555999e-05
Thiogranum,0.00317913064147131,0.00297045600513809,0.00425051471076576,0.00298926165237186,0.00371219565454744,0.00345686701962006,0.00373516918119232,0.0063997427239106,0.0067910447761194,0.0044037547803917,0.0035131824921034,0.00515060633720172,0.00391651636176243,0.00329835082458771,0.000691390801736774,0.00168721832033127,0.00104749746309208,0.00213414634146341,0.00152050340358839,0.00253568745304283,0.00247131509267432,0.00307467057101025,0.00253013841345438,0.00319940933981419,0.00350554158847066,0.00470276535850306,0.00365924557983653,0.00412327311370882,0.00162852112676056,0.00447923461622092,0.0020291942135236
Haliangium,0.000713076031731883,0.00112395632626846,0.00146111443182573,0.000505875048862931,0.0010554281762929,0.000654001868576767,0.000878863336751135,0.000418073645280592,0.000634328358208955,0.000927106269556148,0.000676851672790563,0.000749771808579997,0.000824529760371038,0.00119940029985007,5.53112641389419e-05,0.000663448559859074,0.000621951618710923,0.00138888888888889,0.000210531240496854,0.00159654395191585,0.00151809355692851,0.00112249877989263,0.00119065337103736,0.00159970466990709,0.00145178995078078,0.000827951647623779,0.000581375465955337,0.0012327311370882,0.000660211267605634,0.00108719286801479,0.00582575112914839
MSBL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38753387533875e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Erythrobacter,5.94230026443236e-05,0,6.64142923557149e-05,9.1977281611442e-05,7.27881500891655e-05,0.000124571784490813,0.000439431668375568,0.000321595111754301,7.46268656716418e-05,0.000289720709236296,0.000225617224263521,0.000228191420002608,5.15331100231899e-05,0.000128507174983937,8.29668962084128e-05,8.57907620507424e-05,3.27342957216275e-05,3.38753387533875e-05,9.35694402208239e-05,0,0.000141218005295675,9.76085895558809e-05,3.72079178449174e-05,0.000123054205377469,0.000141638043978613,0,0.000136794227283609,0.000127523910733262,0.000176056338028169,4.34877147205914e-05,0.0001963736335668
